ID,connection,eigenvector,closeness,betweenness,pagerank
213,0.000985222,5.20E-05,0.069850664,0.007864139,0.000392217
214,0.002463054,8.64E-06,0.065992653,0.007467249,0.00095743
215,0.000985222,1.34E-06,0.061912895,0.000492368,0.000421118
216,0.000985222,4.00E-07,0.0583082,2.43E-07,0.000430025
217,0.000985222,1.34E-06,0.061912895,0.000492368,0.000421118
218,0.000492611,1.28E-06,0.061909119,0,0.000237414
219,0.000985222,5.28E-06,0.063314828,0.001170483,0.000396831
220,0.001477833,2.12E-06,0.063049352,0.003661717,0.000567856
221,0.001477833,3.43E-07,0.059725205,0.002110844,0.00056819
222,0.000985222,8.59E-08,0.057155728,0.00029652,0.000393606
223,0.001477833,2.25E-07,0.05770324,0.000924811,0.000558307
224,0.000985222,8.59E-08,0.057155728,0.00029652,0.000393606
225,0.002955665,0.000146604,0.071400936,0.008392472,0.000857391
226,0.001477833,0.000123887,0.070682451,0.003128979,0.000458486
227,0.000985222,1.90E-05,0.06613455,0.002173159,0.00035276
228,0.001477833,3.24E-06,0.062266119,0.001253133,0.000525678
229,0.000985222,8.04E-07,0.058943089,5.58E-05,0.000367443
230,0.001970443,2.06E-06,0.060000591,0.000404417,0.000680395
231,0.001477833,5.52E-06,0.063536776,0.001669267,0.000519695
232,0.000985222,5.80E-06,0.062417366,0.000527467,0.000370295
233,0.001477833,3.69E-05,0.066246777,0.001901002,0.000535681
234,0.001970443,0.000231893,0.070818071,0.004301766,0.000660311
235,0.000985222,1.08E-05,0.062136517,5.21E-06,0.000386536
236,0.001477833,0.001249403,0.075848154,0.006131227,0.000476424
237,0.000985222,3.61E-05,0.066141014,0.000485368,0.000378346
238,0.001477833,0.000238719,0.071140704,0.000498518,0.000489629
239,0.000985222,0.000125479,0.069848261,0.000403288,0.000330439
240,0.001970443,0.00060438,0.074871833,0.001202014,0.000554763
241,0.001970443,0.002658488,0.080501249,0.021801714,0.000530727
242,0.001970443,0.000614727,0.074885643,0.00345687,0.000538207
243,0.001970443,0.000204744,0.070147552,0.006763955,0.000566486
244,0.003448276,0.000664216,0.075260446,0.016240208,0.000933441
245,0.001477833,5.32E-05,0.065661793,2.15E-05,0.000469125
246,0.001477833,0.000109476,0.070048309,0.001319779,0.000504322
247,0.001477833,7.49E-06,0.061960138,0.001803305,0.000520272
248,0.000985222,1.18E-06,0.058789458,0.000916443,0.000394865
249,0.001970443,4.09E-05,0.065789474,0.005253569,0.000621275
250,0.001477833,7.50E-06,0.062193627,0.001667925,0.000517924
251,0.000985222,1.19E-06,0.059045957,0.000821654,0.000386939
